sentence,sentiment,impact,sentiments,impacts,batch,film_title,sentences_nopunc,duplicated
The narrator almost sounds like an automated voice system.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Seeing the Beginning of Time,the narrator almost sounds like an automated voice system,FALSE
Just does not have the impact needed for such a dynamic topic.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster,just does not have the impact needed for such a dynamic topic,FALSE
"I expected more actual footage of the tornado, not so much prior occasions of tornado damage. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster,i expected more actual footage of the tornado not so much prior occasions of tornado damage,FALSE
It's kinda like listening to Data from Star Trek except not as exciting.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Seeing the Beginning of Time,its kinda like listening to data from star trek except not as exciting,FALSE
I really wanted to watch this but I couldn't watch more than 10 minutes.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Seeing the Beginning of Time,i really wanted to watch this but i couldnt watch more than 10 minutes,FALSE
" So, I got a little bored and like someone else who reviews, since I watch these before going to sleep, if I get bored, then that means I'll struggle to stay awake. ",Negative,Engagement with Film,['Negative' 'Neutral' 'Negative'],['Engagement with Film' 'Not applicable' 'Engagement with Film'],1,The Jupiter Enigma,so i got a little bored and like someone else who reviews since i watch these before going to sleep if i get bored then that means ill struggle to stay awake,FALSE
It was like revisiting the nineteen sixties.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster,it was like revisiting the nineteen sixties,FALSE
Somewhat boring.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster,somewhat boring,FALSE
It's really hard to stay interested.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film']",1,SuperTornado: Anatomy of a Megadisaster,its really hard to stay interested,FALSE
"For the 3D effect, there are a few scenes where objects protrude from the screen into your room, but not enough to really impress. ",Negative,Engagement with Film,['Negative' 'Negative' 'Neutral'],['Engagement with Film' 'Engagement with Film' 'Impersonal Report'],1,Space Junk,for the 3d effect there are a few scenes where objects protrude from the screen into your room but not enough to really impress,FALSE
Could use more live footage.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster,could use more live footage,FALSE
"The problem is that you think it's going to be about how a monster tornado forms, and it really isn't. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film']",1,SuperTornado: Anatomy of a Megadisaster,the problem is that you think its going to be about how a monster tornado forms and it really isnt,FALSE
I should have turned on the subtitles and mute and just read it.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster,i should have turned on the subtitles and mute and just read it,FALSE
The science was described in a fairly comprehensible-to-a-novice form... which limits the complexity.,Negative,Engagement with Film,['Positive' 'Negative' 'Neutral'],['Engagement with Film' 'Shift in Knowledge' 'Impersonal Report'],1,Seeing the Beginning of Time,the science was described in a fairly comprehensibletoanovice form which limits the complexity,FALSE
" Granted, to the viewer who is interested in factual data then this is right for you, and needless to say the theme is alarming, but I am not a child who enjoys Disney cartoons as I outgrew them over 50 years ago. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Space Junk,granted to the viewer who is interested in factual data then this is right for you and needless to say the theme is alarming but i am not a child who enjoys disney cartoons as i outgrew them over 50 years ago,FALSE
This video needs a laugh track.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Shift in Knowledge' 'Engagement with Film'],1,Seeing the Beginning of Time,this video needs a laugh track,FALSE
"Unfortunately, having paid extra for 3D, I expected some ""pop."" ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Space Junk,unfortunately having paid extra for 3d i expected some pop,FALSE
"If you need to fall asleep watch it, then by all means watch it. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Birth of Planet Earth,if you need to fall asleep watch it then by all means watch it,FALSE
"If you are buying this for a 3D experience in space, you are likely to be disappointed. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Space Junk,if you are buying this for a 3d experience in space you are likely to be disappointed,FALSE
There are times when he can barely be heard over the music.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Birth of Planet Earth,there are times when he can barely be heard over the music,FALSE
" I'd love to hear the reaction were he to use that voice when asking his spouse ""What's for dinner honey? ",Negative,Engagement with Film,['Negative' 'Negative' 'Neutral'],['Engagement with Film' 'Engagement with Film' 'Not applicable'],1,The Jupiter Enigma,id love to hear the reaction were he to use that voice when asking his spouse whats for dinner honey,FALSE
"I wish I didn't have to submit this type of review, but Earth Being's needed to know what they were getting into. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Space Junk,i wish i didnt have to submit this type of review but earth beings needed to know what they were getting into,FALSE
"Everyone keeps making poor decisions and the crew is whittled down by ""scientists you wouldn't want to bag your groceries. ",Negative,Engagement with Film,['Negative' 'Neutral' 'Negative'],['Engagement with Film' 'Not applicable' 'Impersonal Report'],1,The Jupiter Enigma,everyone keeps making poor decisions and the crew is whittled down by scientists you wouldnt want to bag your groceries,FALSE
"Good information if this were on the shelf in a high school science department, but it doesn't provide much entertainment value. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster,good information if this were on the shelf in a high school science department but it doesnt provide much entertainment value,FALSE
It detracted a bit from the experience.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Seeing the Beginning of Time,it detracted a bit from the experience,FALSE
Should be heavily edited and released as a 15 or 20  minute program.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Solar Superstorms: Journey to the Center of the Sun,should be heavily edited and released as a 15 or 20 minute program,FALSE
" Not in this dry, dull, high school term paper of a story. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film']",1,SuperTornado: Anatomy of a Megadisaster,not in this dry dull high school term paper of a story,FALSE
"If you're having trouble sleeping at night, maybe you could put this on. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster,if youre having trouble sleeping at night maybe you could put this on,FALSE
" This whole documentary could have been cut to 10 minutes. "" ",Negative,Engagement with Film,['Negative' 'Negative' 'Positive'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film']",1,Solar Superstorms: Journey to the Center of the Sun,this whole documentary could have been cut to 10 minutes,FALSE
"Very few specific facts, and only about half of this whole program is directly about Jupiter. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Shift in Knowledge' 'Engagement with Film' 'Engagement with Film'
 'Shift in Knowledge']",2,The Jupiter Enigma,very few specific facts and only about half of this whole program is directly about jupiter,FALSE
I guess they were generated long before.,Negative,Engagement with Film,['Neutral' 'Neutral' 'Negative' 'Negative'],"['Impersonal Report' 'Impersonal Report' 'Engagement with Film'
 'Engagement with Film']",2,Seeing the Beginning of Time,i guess they were generated long before,FALSE
"was not what I expected, I lost interest and shut it down.... ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Interest with Science Topic' 'Engagement with Film'
 'Engagement with Film' 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster,was not what i expected i lost interest and shut it down,FALSE
No very scientific their method.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Shift in Knowledge'
 'Shift in Knowledge']",2,The Jupiter Enigma,no very scientific their method,FALSE
"The biggest letdown, however, is the narration. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Seeing the Beginning of Time,the biggest letdown however is the narration,FALSE
Really bad TV.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Not applicable']",2,SuperTornado: Anatomy of a Megadisaster,really bad tv,FALSE
Why not document the 17 minutes the residents had from the time of the warning until it hit.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Neutral'],"['Engagement with Film' 'Shift in Knowledge' 'Engagement with Film'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster,why not document the 17 minutes the residents had from the time of the warning until it hit,FALSE
A great subject should have a great presentation...definitely missing here.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Space Junk,a great subject should have a great presentationdefinitely missing here,FALSE
" Compare this to ""From Everything to Nothing"" (also available on amazon) and you'll see the stark difference between the two different formats. ",Negative,Engagement with Film,['Neutral' 'Negative' 'Neutral' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Impersonal Report'
 'Engagement with Film']",2,Seeing the Beginning of Time,compare this to from everything to nothing also available on amazon and youll see the stark difference between the two different formats,FALSE
That Narrator was AWFUL!,Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster,that narrator was awful,FALSE
the presentation simply kills it for me.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Seeing the Beginning of Time,the presentation simply kills it for me,FALSE
There had to have been some heroes.,Negative,Engagement with Film,['Negative' 'Negative' 'Neutral' 'Neutral'],"['Interest with Science Topic' 'Shift in Knowledge' 'Impersonal Report'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster,there had to have been some heroes,FALSE
As it stands I have no desire to see it again.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Not applicable']",2,Space Junk,as it stands i have no desire to see it again,FALSE
Should be shown on VHS in someone's classroom,Negative,Engagement with Film,['Positive' 'Negative' 'Positive' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Shift in Knowledge'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster,should be shown on vhs in someones classroom,FALSE
"You get the sense the guy was reading a sheet of paper, and never looking at the images he's voicing over. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster,you get the sense the guy was reading a sheet of paper and never looking at the images hes voicing over,FALSE
Meh,Negative,Engagement with Film,['Negative' 'Neutral' 'Negative' 'Neutral'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Not applicable']",2,SuperTornado: Anatomy of a Megadisaster,meh,FALSE
"It's probably an interesting story, but it didn't hold my interest because the narrator was so awful to try to listen to. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster,its probably an interesting story but it didnt hold my interest because the narrator was so awful to try to listen to,FALSE
" However,  this one was massively boring. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Interest with Science Topic' 'Engagement with Film'
 'Engagement with Film' 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster,however this one was massively boring,FALSE
" Lessons abound, but are tossed aside. ",Negative,Engagement with Film,['Neutral' 'Neutral' 'Negative' 'Negative'],"['Not applicable' 'Impersonal Report' 'Interest with Science Topic'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster,lessons abound but are tossed aside,FALSE
" I dock one star because whoever does the narration sounds like the newer computer generated voices, with very little voice modulation. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Seeing the Beginning of Time,i dock one star because whoever does the narration sounds like the newer computer generated voices with very little voice modulation,FALSE
Only watched a little of the video.,Negative,Engagement with Film,['Negative' 'Negative' 'Neutral' 'Neutral'],"['Engagement with Film' 'Engagement with Film' 'Impersonal Report'
 'Not applicable']",2,SuperTornado: Anatomy of a Megadisaster,only watched a little of the video,FALSE
The narrator should probably be giving Yoga instruction not describing the tumultuous and awesome forces of planetary formation.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Birth of Planet Earth,the narrator should probably be giving yoga instruction not describing the tumultuous and awesome forces of planetary formation,FALSE
Great visuals if you like the same rewashed look in your renders.,Negative,Engagement with Film,['Positive' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,The Jupiter Enigma,great visuals if you like the same rewashed look in your renders,FALSE
"SUX, WANTED TO GIVE 0 STARS WATCHED 5 MINUTES AND HATED THE CRAP, WANT MY MONEY REFUNDED BACK ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Not applicable']",2,Solar Superstorms: Journey to the Center of the Sun,sux wanted to give 0 stars watched 5 minutes and hated the crap want my money refunded back,FALSE
" If you're looking for any kind of personal or human interest angles to the story, best to look at some of the Weather Channel specials. ",Negative,Engagement with Film,['Negative' 'Positive' 'Negative' 'Negative'],"['Interest with Science Topic' 'Interest with Science Topic'
 'Engagement with Film' 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster,if youre looking for any kind of personal or human interest angles to the story best to look at some of the weather channel specials,FALSE
about fell asleep.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Seeing the Beginning of Time,about fell asleep,FALSE
"Most of the 3D is just depth which isn't that exciting, particularly in a production that has all the potential for spectacular visuals. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Space Junk,most of the 3d is just depth which isnt that exciting particularly in a production that has all the potential for spectacular visuals,FALSE
"A string of 10 second images, sound bites and overwhelming audio effects lots of shock and awe very little information...very disappointing PBS ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Seeing the Beginning of Time,a string of 10 second images sound bites and overwhelming audio effects lots of shock and awe very little informationvery disappointing pbs,FALSE
"i kept falling asleep because of the narrator, if you're trying to go to sleep and can't, this will help. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster,i kept falling asleep because of the narrator if youre trying to go to sleep and cant this will help,FALSE
Fifty minutes of listening to an automated voice menu system explain the origin of the universe is cited by the United Nations as a pernicious form of torture.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Seeing the Beginning of Time,fifty minutes of listening to an automated voice menu system explain the origin of the universe is cited by the united nations as a pernicious form of torture,FALSE
the speaker made it very boring.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Seeing the Beginning of Time,the speaker made it very boring,FALSE
Another Amateur Hour documentary.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,The Jupiter Enigma,another amateur hour documentary,FALSE
Interesting topic but blah movie,Negative,Engagement with Film,['Negative' 'Positive' 'Negative' 'Positive'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film' 'Interest with Science Topic']",2,SuperTornado: Anatomy of a Megadisaster,interesting topic but blah movie,FALSE
"The narration misuses the term ""evolution"" to describe the changes which are occurring to the universe. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Shift in Knowledge' 'Shift in Knowledge'
 'Engagement with Film']",2,Seeing the Beginning of Time,the narration misuses the term evolution to describe the changes which are occurring to the universe,FALSE
Not nearly as interesting as the NOVA documentary.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic' 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster,not nearly as interesting as the nova documentary,FALSE
and I don't understand why images from NASA and JPL were not used.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Space Junk,and i dont understand why images from nasa and jpl were not used,FALSE
Shame on the producers.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster,shame on the producers,FALSE
Wish I had read the other reviews before wasting my money.....boring and bad 3d........pass and save your money,Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Space Junk,wish i had read the other reviews before wasting my moneyboring and bad 3dpass and save your money,FALSE
Hate to be negative but the picture was all blurry and pixilated,Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster,hate to be negative but the picture was all blurry and pixilated,FALSE
"I get that it's somber, but I could hardly stay awake from the dull monotone droning throughout. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster,i get that its somber but i could hardly stay awake from the dull monotone droning throughout,FALSE
" It goes off on tangents about the creation of gas giants like Jupiter and much, much, more that really wasn't what I wanted to see. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Impersonal Report' 'Interest with Science Topic'
 'Interest with Science Topic']",2,The Jupiter Enigma,it goes off on tangents about the creation of gas giants like jupiter and much much more that really wasnt what i wanted to see,FALSE
" If you're looking for heart-pounding, high adrenaline storm chasing footage, you might be disappointed. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster,if youre looking for heartpounding high adrenaline storm chasing footage you might be disappointed,FALSE
Also the narrator is so monotone.,Negative,Engagement with Film,['Positive' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster,also the narrator is so monotone,FALSE
There's zero emotion in this guy's voice.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],3,SuperTornado: Anatomy of a Megadisaster,theres zero emotion in this guys voice,FALSE
Kind of boring bearly any action,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],3,SuperTornado: Anatomy of a Megadisaster,kind of boring bearly any action,FALSE
" Not literally Bugs Bunny type cartoons, as I actually like Bugs, but a vast majority of the movie is literally computer generated graphics and not the best quality. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],3,Space Junk,not literally bugs bunny type cartoons as i actually like bugs but a vast majority of the movie is literally computer generated graphics and not the best quality,FALSE
Maybe ill just mute the sound and try again later or not.,Negative,Engagement with Film,['Neutral' 'Negative' 'Negative'],['Not applicable' 'Engagement with Film' 'Engagement with Film'],3,Seeing the Beginning of Time,maybe ill just mute the sound and try again later or not,FALSE
Informative but sort of dry and boring.,Negative,Engagement with Film,['Negative' 'Negative' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Shift in Knowledge'],3,SuperTornado: Anatomy of a Megadisaster,informative but sort of dry and boring,FALSE
waste of film off and find something else to watch.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],"['Interest with Science Topic' 'Engagement with Film'
 'Engagement with Film']",3,SuperTornado: Anatomy of a Megadisaster,waste of film off and find something else to watch,FALSE
It's just over too soon for my liking.,Negative,Engagement with Film,['Positive' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],3,Solar Superstorms: Journey to the Center of the Sun,its just over too soon for my liking,FALSE
Don't waste your time.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Not applicable'],3,SuperTornado: Anatomy of a Megadisaster,dont waste your time,FALSE
Thought it be more exciting,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],3,SuperTornado: Anatomy of a Megadisaster,thought it be more exciting,FALSE
"OKAY, only because the 3D doesn't deliver. ",Negative,Engagement with Film,['Negative' 'Negative' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],3,Space Junk,okay only because the 3d doesnt deliver,FALSE
"While a potentially worthy subject, marketing idiots/producers ""artistic creativity"" ruined/negated the subject matter. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],3,Seeing the Beginning of Time,while a potentially worthy subject marketing idiotsproducers artistic creativity ruinednegated the subject matter,FALSE
